Date,Open,High,Low,Close,Adj_Close,Volume
08-10-2020,2259,2268,2222.100098,2239.25,2239.25,9727405
09-10-2020,2235,2253,2217.100098,2233.449951,2233.449951,8558745
12-10-2020,2235,2255.75,2226.25,2237.050049,2237.050049,6565515
13-10-2020,2230.600098,2285.75,2225.850098,2280.699951,2280.699951,10666190
14-10-2020,2278.899902,2304,2268.5,2287.5,2287.5,12341434
15-10-2020,2290,2290,2195,2206.5,2206.5,9246702
16-10-2020,2215,2232.5,2172.649902,2175.800049,2175.800049,9960828
19-10-2020,2190.050049,2228.699951,2155.149902,2176.199951,2176.199951,14398973
20-10-2020,2179,2193,2152.25,2155.899902,2155.899902,8529573
21-10-2020,2168,2192,2097.75,2124.600098,2124.600098,15728986
22-10-2020,2127.399902,2132.5,2091,2106.949951,2106.949951,14215215
23-10-2020,2106,2135,2096.399902,2113.050049,2113.050049,10809307
26-10-2020,2101.949951,2101.949951,2018.5,2029.099976,2029.099976,17225212
27-10-2020,2034.900024,2059.850098,2005,2034.5,2034.5,16835005
28-10-2020,2041.800049,2057.699951,2007.400024,2011.449951,2011.449951,13809929
29-10-2020,1997,2042,1991,2026.900024,2026.900024,14147418
30-10-2020,2033.5,2065.100098,2021.800049,2054.5,2054.5,15700946
